index,score,group,family,module_category,module,percentage
251,21.48,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00552,0.5154529307282416
252,20.84,AZC5T,Muribaculaceae,Amino acid metabolism,M00022,0.03978685612788632
253,20.84,AZC5T,Muribaculaceae,Lipid metabolism,M00082,0.05719360568383659
254,20.84,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00120,0.08348134991119005
255,20.84,AZC5T,Muribaculaceae,Energy metabolism,M00166,0.09520426287744227
256,20.84,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00899,0.10692717584369449
257,20.84,AZC5T,Muribaculaceae,Energy metabolism,M00345,0.1197158081705151
258,20.84,AZC5T,Muribaculaceae,Nucleotide metabolism,M00051,0.16589698046181173
259,20.84,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00003,0.1989342806394316
260,20.84,AZC5T,Muribaculaceae,Nucleotide metabolism,M00048,0.2561278863232682
261,20.84,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00549,0.26678507992895206
262,20.84,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00855,0.2827708703374778
263,20.84,AZC5T,Muribaculaceae,Energy metabolism,M00173,0.35168738898756663
264,20.84,AZC5T,Muribaculaceae,Energy metabolism,M00169,0.35559502664298404
265,20.84,AZC5T,Muribaculaceae,Amino acid metabolism,M00621,0.36980461811722914
266,20.84,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00115,0.3911190053285968
267,20.84,AZC5T,Muribaculaceae,Nucleotide metabolism,M00052,0.40319715808170514
268,20.84,AZC5T,Muribaculaceae,Biosynthesis of terpenoids and polyketides,M00793,0.4202486678507993
269,20.84,AZC5T,Muribaculaceae,Gene set,M00627,0.43374777975133216
270,20.84,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00123,0.45293072824156305
271,20.84,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00577,0.45293072824156305
272,20.84,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00741,0.466785079928952
273,20.84,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00119,0.4817051509769094
274,20.84,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00011,0.4817051509769094
275,20.84,AZC5T,Muribaculaceae,Glycan metabolism,M00063,0.49413854351687386
276,20.84,AZC5T,Muribaculaceae,Energy metabolism,M00167,0.5015985790408526
277,20.84,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00950,0.5015985790408526
278,20.84,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00124,0.5154529307282416
279,20.84,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00552,0.5154529307282416
280,18.45,AZC5T,Muribaculaceae,Amino acid metabolism,M00022,0.03978685612788632
281,18.45,AZC5T,Muribaculaceae,Lipid metabolism,M00082,0.05719360568383659
282,18.45,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00120,0.08348134991119005
283,18.45,AZC5T,Muribaculaceae,Energy metabolism,M00166,0.09520426287744227
284,18.45,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00899,0.10692717584369449
285,18.45,AZC5T,Muribaculaceae,Energy metabolism,M00345,0.1197158081705151
286,18.45,AZC5T,Muribaculaceae,Nucleotide metabolism,M00051,0.16589698046181173
287,18.45,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00003,0.1989342806394316
288,18.45,AZC5T,Muribaculaceae,Nucleotide metabolism,M00048,0.2561278863232682
289,18.45,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00549,0.26678507992895206
290,18.45,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00855,0.2827708703374778
291,18.45,AZC5T,Muribaculaceae,Energy metabolism,M00173,0.35168738898756663
292,18.45,AZC5T,Muribaculaceae,Energy metabolism,M00169,0.35559502664298404
293,18.45,AZC5T,Muribaculaceae,Amino acid metabolism,M00621,0.36980461811722914
294,18.45,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00115,0.3911190053285968
295,18.45,AZC5T,Muribaculaceae,Nucleotide metabolism,M00052,0.40319715808170514
296,18.45,AZC5T,Muribaculaceae,Biosynthesis of terpenoids and polyketides,M00793,0.4202486678507993
297,18.45,AZC5T,Muribaculaceae,Gene set,M00627,0.43374777975133216
298,18.45,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00123,0.45293072824156305
299,18.45,AZC5T,Muribaculaceae,Metabolism of cofactors and vitamins,M00577,0.45293072824156305
300,18.45,AZC5T,Muribaculaceae,Carbohydrate metabolism,M00741,0.466785079928952
