,id,sample_id,abundance,abundance_normalized,domain,phylum,class,order,family,genus,species
157,AZC3J_40,sample_5,243,408.88351832057776,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
158,AZC3J_40,sample_9,248,417.29675943828516,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
159,AZC3J_40,sample_15,3720,6259.451391574277,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
160,AZC3J_41,sample_1,5320,7735.655512517714,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
161,AZC3J_41,sample_5,7742,11257.414469532356,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
162,AZC3J_41,sample_9,25876,37625.530459005335,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
163,AZC3J_41,sample_15,3021,4392.747237465416,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
164,AZC3J_42,sample_1,4581,10461.51111194012,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,
165,AZC3J_42,sample_5,2702,6170.4874534953515,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,
166,AZC3J_42,sample_9,5403,12338.691232877642,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,
167,AZC3J_42,sample_15,2821,6442.244672949811,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-552,,
168,AZC3J_43,sample_1,1665,1310.3619451784862,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,
169,AZC3J_43,sample_5,1344,1057.7336061981293,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,
170,AZC3J_43,sample_9,1554,1223.004482166587,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,
171,AZC3J_43,sample_15,3748,2949.691633951331,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,
172,AZC3J_44,sample_1,36535,32529.849453507835,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Anaerotignaceae,ASF356,
173,AZC3J_44,sample_5,12771,11370.978715498797,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Anaerotignaceae,ASF356,
174,AZC3J_44,sample_9,24279,21617.4138464956,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Anaerotignaceae,ASF356,
175,AZC3J_44,sample_15,1118,995.4392141514099,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Anaerotignaceae,ASF356,
176,AZC3J_45,sample_1,778,453.78538808533506,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
177,AZC3J_45,sample_5,2031,1184.6248370196859,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
178,AZC3J_45,sample_9,468,272.97115889966176,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
179,AZC3J_45,sample_15,679,396.04148908732975,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
180,AZC3J_46,sample_1,13349,20939.66942695524,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,
181,AZC3J_46,sample_5,45124,70782.95327155055,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,
182,AZC3J_46,sample_9,6886,10801.600395086805,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,,
